tx_id,rx_id,distance,rssi,snr
7,8,94.6233,-96.2659,24.9526
7,12,231.796,-104.114,17.1041
7,13,3.49794,-79.6381,41.5803
7,14,91.636,-97.6783,23.5402
7,5,241.749,-117.658,3.56068
7,10,262.764,-119.162,2.05692
7,11,252.578,-116.018,5.20009
7,16,259.23,-113.991,2.21929
8,1,98.2654,-96.0122,25.2063
8,2,275.738,-112.281,8.93758
8,3,11.4653,-81.7596,39.4589
8,4,252.409,-114.174,8.71737
8,5,219.558,-107.882,13.3363
8,7,94.6306,-96.2659,24.9526
8,10,246.782,-110.099,10.2829
8,12,247.808,-111.699,9.5194
8,13,97.6512,-110.095,11.1239
8,14,3.47931,-75.7347,45.4838
9,1,239.48,-103.78,17.4388
9,2,14.5032,-96.2439,24.9746
9,3,255.393,-114.608,6.61022
9,4,79.9499,-94.748,26.4705
9,6,31.5433,-89.3251,31.8934
9,10,87.247,-96.8845,24.334
9,11,99.6551,-101.502,19.7163
9,12,19.5852,-86.2962,34.9223
9,14,267.544,-105.909,15.3095
9,16,86.0745,-94.7821,26.4364
12,1,220.341,-105.542,15.6766
12,2,31.7549,-87.8153,33.4032
12,3,236.278,-112.419,8.79934
12,4,79.5548,-106.874,19.6801
12,5,95.3954,-97.9762,23.2423
12,6,12.1358,-78.0644,43.1541
12,7,231.429,-104.098,17.121
12,8,247.74,-111.694,9.52435
12,9,19.5643,-86.2962,34.9223
12,10,85.4107,-114.161,9.60551
12,11,94.621,-108.142,14.7418
12,13,233.446,-104.676,16.5423
12,14,248.363,-103.921,17.2973
12,16,83.5048,-97.1885,24.03
9,5,102.708,-120.928,6.21668
2,1,251.968,-104.841,16.3779
2,4,72.6238,-93.9393,27.2792
2,5,99.875,-97.5729,23.6456
2,6,44.1359,-90.8165,30.402
2,8,275.845,-112.284,8.93433
2,9,14.5519,-96.3129,24.9056
2,10,80.7012,-103.22,17.9989
2,11,95.1547,-97.7619,23.4566
2,12,32.0982,-87.8846,33.3339
2,13,265.166,-111.279,9.93998
2,14,276.701,-103.573,17.6451
2,16,80.1126,-109.468,10.0063
5,2,99.8657,-97.5755,23.643
5,3,207.9,-117.846,8.74229
5,4,37.7527,-99.6326,21.5859
5,6,94.6295,-98.8778,22.3407
5,8,219.004,-107.856,13.3621
5,10,29.7592,-96.4474,24.7711
5,11,12.1398,-79.3722,41.8463
5,12,95.4019,-97.978,23.2404
5,13,244.011,-107.651,13.5678
5,14,220.957,-107.726,13.493
5,16,27.2164,-85.6949,35.5236
4,2,72.5952,-93.9304,27.2881
4,3,241.063,-112.353,9.25637
4,5,37.7869,-99.6326,21.5859
4,6,83.6475,-94.5742,26.6443
4,7,265.351,-112.257,9.93469
4,9,79.7977,-94.7317,26.4868
4,10,9.01699,-93.0479,28.1706
4,11,27.6211,-89.2565,31.962
4,12,79.5914,-105.738,10.0879
4,16,10.5527,-89.3128,31.9057
6,7,219.021,-104.998,6.67198
6,8,236.195,-108.069,11.3819
6,12,12.0983,-78.1571,32.813
6,13,221.109,-103.286,11.0918
6,14,236.81,-106.522,9.11115
5,1,232.067,-118.734,2.48463
5,7,240.944,-117.624,3.59474
4,8,252.356,-109.711,11.1937
4,13,268.167,-115.385,5.83334
