time_ms,imsi,rnti,frame,subframe,slot,sym_start,sym_len,rb_start,rb_len,priority,mcs,tb_size_bytes,reservation_period_ms,total_subchannels,start_subchannel,length_subchannel,max_num_per_reserve,gap_retx1,gap_retx2
10521.0000,2,2,1052,1,0,0,1,0,10,7,14,308,20,5,0,1,3,42,43
10523.0000,1,1,1052,3,0,0,1,20,10,7,14,308,20,5,2,1,3,8,255
10534.5000,2,2,1053,4,2,0,1,10,10,7,14,308,20,5,1,1,3,1,255
10570.5000,3,3,1057,0,2,0,1,30,10,7,14,308,20,5,3,1,3,5,12
10587.2500,3,3,1058,7,1,0,1,20,10,7,14,308,20,5,2,1,3,5,255
10617.2500,1,1,1061,7,1,0,1,30,10,7,14,308,20,5,3,1,3,4,22
10623.0000,1,1,1062,3,0,0,1,20,10,7,14,308,20,5,2,1,3,8,255
10717.2500,1,1,1071,7,1,0,1,30,10,7,14,308,20,5,3,1,3,4,22
10723.0000,1,1,1072,3,0,0,1,20,10,7,14,308,20,5,2,1,3,8,255
10817.2500,1,1,1081,7,1,0,1,30,10,7,14,308,20,5,3,1,3,4,22
10821.0000,2,2,1082,1,0,0,1,0,10,7,14,308,20,5,0,1,3,42,43
10823.0000,1,1,1082,3,0,0,1,20,10,7,14,308,20,5,2,1,3,8,255
10834.5000,2,2,1083,4,2,0,1,10,10,7,14,308,20,5,1,1,3,1,255
10870.5000,3,3,1087,0,2,0,1,30,10,7,14,308,20,5,3,1,3,5,12
10887.2500,3,3,1088,7,1,0,1,20,10,7,14,308,20,5,2,1,3,5,255
10917.2500,1,1,1091,7,1,0,1,30,10,7,14,308,20,5,3,1,3,4,22
10923.0000,1,1,1092,3,0,0,1,20,10,7,14,308,20,5,2,1,3,8,255
11017.2500,1,1,1101,7,1,0,1,30,10,7,14,308,20,5,3,1,3,4,22
11023.0000,1,1,1102,3,0,0,1,20,10,7,14,308,20,5,2,1,3,8,255
11117.2500,1,1,1111,7,1,0,1,30,10,7,14,308,20,5,3,1,3,4,22
11121.0000,2,2,1112,1,0,0,1,0,10,7,14,308,20,5,0,1,3,42,43
11123.0000,1,1,1112,3,0,0,1,20,10,7,14,308,20,5,2,1,3,8,255
11134.5000,2,2,1113,4,2,0,1,10,10,7,14,308,20,5,1,1,3,1,255
11170.5000,3,3,1117,0,2,0,1,30,10,7,14,308,20,5,3,1,3,5,12
11187.2500,3,3,1118,7,1,0,1,20,10,7,14,308,20,5,2,1,3,5,255
11402.2500,2,2,1140,2,1,0,1,0,10,7,14,308,20,5,0,1,3,5,14
11406.0000,2,2,1140,6,0,0,1,0,10,7,14,308,20,5,0,1,3,11,255
11411.0000,1,1,1141,1,0,0,1,40,10,7,14,308,20,5,4,1,3,1,7
11413.2500,1,1,1141,3,1,0,1,10,10,7,14,308,20,5,1,1,3,12,255
11454.7500,3,3,1145,4,3,0,1,0,10,7,14,308,20,5,0,1,3,6,20
11465.2500,3,3,1146,5,1,0,1,20,10,7,14,308,20,5,2,1,3,7,255
11602.2500,2,2,1160,2,1,0,1,0,10,7,14,308,20,5,0,1,3,5,14
11606.0000,2,2,1160,6,0,0,1,0,10,7,14,308,20,5,0,1,3,11,255
11711.0000,1,1,1171,1,0,0,1,40,10,7,14,308,20,5,4,1,3,1,7
11713.2500,1,1,1171,3,1,0,1,10,10,7,14,308,20,5,1,1,3,12,255
11754.7500,3,3,1175,4,3,0,1,0,10,7,14,308,20,5,0,1,3,6,20
11765.2500,3,3,1176,5,1,0,1,20,10,7,14,308,20,5,2,1,3,7,255
11810.5000,2,2,1181,0,2,0,1,0,10,7,14,308,20,5,0,1,3,6,19
11824.2500,2,2,1182,4,1,0,1,0,10,7,14,308,20,5,0,1,3,5,255
12010.5000,2,2,1201,0,2,0,1,0,10,7,14,308,20,5,0,1,3,6,19
12011.0000,1,1,1201,1,0,0,1,40,10,7,14,308,20,5,4,1,3,1,7
12013.2500,1,1,1201,3,1,0,1,10,10,7,14,308,20,5,1,1,3,12,255
12024.2500,2,2,1202,4,1,0,1,0,10,7,14,308,20,5,0,1,3,5,255
12073.5000,3,3,1207,3,2,0,1,0,10,7,14,308,20,5,0,1,3,19,24
12084.5000,3,3,1208,4,2,0,1,0,10,7,14,308,20,5,0,1,3,3,255
12210.5000,2,2,1221,0,2,0,1,0,10,7,14,308,20,5,0,1,3,6,19
12224.2500,2,2,1222,4,1,0,1,0,10,7,14,308,20,5,0,1,3,5,255
12310.5000,2,2,1231,0,2,0,1,0,10,7,14,308,20,5,0,1,3,6,19
12320.2500,1,1,1232,0,1,0,1,10,10,7,14,308,20,5,1,1,3,3,6
12324.2500,2,2,1232,4,1,0,1,0,10,7,14,308,20,5,0,1,3,5,255
12326.0000,1,1,1232,6,0,0,1,40,10,7,14,308,20,5,4,1,3,23,255
12373.5000,3,3,1237,3,2,0,1,0,10,7,14,308,20,5,0,1,3,19,24
12384.5000,3,3,1238,4,2,0,1,0,10,7,14,308,20,5,0,1,3,3,255
12409.7500,2,2,1240,9,3,0,1,30,10,7,14,308,20,5,3,1,3,21,33
12421.0000,2,2,1242,1,0,0,1,10,10,7,14,308,20,5,1,1,3,6,255
12509.7500,2,2,1250,9,3,0,1,30,10,7,14,308,20,5,3,1,3,21,33
12521.0000,2,2,1252,1,0,0,1,10,10,7,14,308,20,5,1,1,3,6,255
