time,vehicle,speed,lane
43.0,veh14,11.1,0
43.0,veh9,6.94,0
43.0,veh10,6.93,1
43.0,veh1,6.92,0
43.0,veh11,9.71,0
43.0,veh15,6.94,0
43.0,veh18,13.88,0
43.0,veh19,6.94,0
43.0,veh4,20.82,1
43.0,veh13,15.26,0
43.0,veh6,8.32,0
43.0,veh12,6.93,0
43.0,veh8,16.66,1
43.0,veh16,16.65,1
43.0,veh17,11.1,1
43.0,veh7,11.1,1
44.0,veh20,6.94,0
44.0,veh3,6.94,0
44.0,veh2,20.83,1
44.0,veh5,11.1,0
44.0,veh14,11.1,0
44.0,veh9,6.93,0
44.0,veh10,6.93,1
44.0,veh1,6.93,0
44.0,veh11,9.7,0
44.0,veh15,9.41,0
44.0,veh18,13.89,0
44.0,veh19,6.92,0
44.0,veh4,20.81,1
44.0,veh13,15.25,0
44.0,veh6,8.32,0
44.0,veh12,6.92,0
44.0,veh8,16.65,1
44.0,veh16,16.66,1
44.0,veh17,11.1,1
44.0,veh7,11.1,1
45.0,veh20,6.93,0
45.0,veh2,20.81,1
45.0,veh5,11.09,0
45.0,veh14,11.09,0
45.0,veh9,6.92,0
45.0,veh4,20.83,1
45.0,veh10,6.92,1
45.0,veh3,6.93,0
45.0,veh1,6.93,0
45.0,veh11,9.71,0
45.0,veh15,12.33,0
45.0,veh18,13.88,0
45.0,veh19,6.94,0
45.0,veh13,15.26,0
45.0,veh6,8.32,0
45.0,veh12,6.93,0
45.0,veh8,16.64,1
45.0,veh16,16.64,1
45.0,veh17,11.11,1
45.0,veh7,11.11,1
46.0,veh20,6.92,0
46.0,veh2,20.82,1
46.0,veh5,11.1,0
46.0,veh14,11.09,0
46.0,veh9,6.93,0
46.0,veh4,20.82,1
46.0,veh10,6.92,1
46.0,veh3,6.94,0
46.0,veh1,6.93,0
46.0,veh11,9.7,0
46.0,veh15,13.88,0
46.0,veh18,13.87,0
46.0,veh19,6.94,0
46.0,veh13,15.26,0
46.0,veh6,8.32,0
46.0,veh12,6.93,0
46.0,veh8,16.64,1
46.0,veh16,16.65,1
46.0,veh17,11.11,1
46.0,veh7,11.1,1
47.0,veh20,6.93,0
47.0,veh2,20.81,1
47.0,veh5,11.09,0
47.0,veh9,6.93,0
47.0,veh4,20.81,1
47.0,veh10,6.92,1
47.0,veh3,6.93,0
47.0,veh1,6.93,0
47.0,veh11,9.71,0
47.0,veh15,13.89,0
47.0,veh14,11.09,0
47.0,veh18,13.88,0
47.0,veh19,6.93,0
47.0,veh13,14.71,0
47.0,veh6,8.32,0
47.0,veh12,6.93,0
47.0,veh8,16.15,1
47.0,veh16,15.91,1
47.0,veh17,11.11,1
47.0,veh7,11.1,1
48.0,veh15,13.88,0
48.0,veh20,6.92,0
48.0,veh2,20.81,1
48.0,veh5,11.1,0
48.0,veh10,3.46,0
48.0,veh9,6.94,0
48.0,veh4,20.83,1
48.0,veh3,6.93,0
48.0,veh1,6.93,0
48.0,veh11,9.72,0
48.0,veh14,11.09,0
48.0,veh18,13.89,0
48.0,veh19,6.92,0
48.0,veh13,12.8,0
48.0,veh6,8.32,0
48.0,veh12,6.94,0
48.0,veh7,11.09,0
48.0,veh8,15.12,1
48.0,veh16,14.57,1
48.0,veh17,11.1,1
49.0,veh15,13.88,0
49.0,veh20,6.92,0
49.0,veh2,20.81,1
49.0,veh5,11.1,0
49.0,veh10,3.46,0
49.0,veh9,3.47,0
49.0,veh4,20.81,1
49.0,veh3,6.93,0
49.0,veh1,6.93,0
49.0,veh7,11.1,0
49.0,veh11,9.71,0
49.0,veh14,11.11,0
49.0,veh18,13.89,0
49.0,veh19,6.93,0
49.0,veh13,11.36,0
49.0,veh6,8.32,0
49.0,veh12,6.93,0
49.0,veh8,14.26,1
49.0,veh16,13.54,1
49.0,veh17,11.11,1
50.0,veh15,13.88,0
50.0,veh20,3.46,0
50.0,veh2,20.82,1
50.0,veh5,11.1,0
50.0,veh10,3.47,0
50.0,veh9,3.47,0
50.0,veh4,20.81,1
50.0,veh3,6.93,0
50.0,veh1,6.92,0
50.0,veh7,11.09,0
50.0,veh11,9.7,0
50.0,veh14,11.1,0
50.0,veh18,13.88,0
50.0,veh19,6.93,0
50.0,veh13,10.34,0
50.0,veh6,8.32,0
50.0,veh12,6.93,0
50.0,veh8,13.53,1
50.0,veh16,12.79,1
50.0,veh17,11.09,1
51.0,veh15,13.89,0
51.0,veh20,3.46,0
51.0,veh2,20.82,1
51.0,veh5,11.1,0
51.0,veh10,3.45,0
51.0,veh9,3.45,0
51.0,veh4,20.81,1
51.0,veh3,6.93,0
51.0,veh1,6.93,0
51.0,veh7,11.1,0
51.0,veh11,9.71,0
51.0,veh14,11.11,0
51.0,veh18,13.89,0
51.0,veh19,6.92,0
51.0,veh13,9.63,0
51.0,veh6,8.32,0
51.0,veh12,6.92,0
51.0,veh8,12.95,1
