timeMs,imsi,rnti,srcL2Id,dstL2Id,frame,subFrame,slot,symStart,symLen,sbChSize,rbStart,rbLen,harqId,ndi,rv,reselCounter,cReselCounter,csiReq,castType,SEED,RUN
5936.0,1,1,1,255,593,6,0,1,12,50,0,50,1,0,2,7,88,0,0,1,1
5936.25,1,1,1,255,593,6,1,1,12,50,0,50,1,0,3,7,88,0,0,1,1
5936.75,1,1,1,255,593,6,3,1,12,50,0,50,1,0,1,7,88,0,0,1,1
5939.75,1,1,1,255,593,9,3,1,12,50,0,50,1,0,0,6,87,0,0,1,1
6034.75,1,1,1,255,603,4,3,1,12,50,0,50,2,1,0,6,87,0,0,1,1
6036.0,1,1,1,255,603,6,0,1,12,50,0,50,2,0,2,6,87,0,0,1,1
6036.25,1,1,1,255,603,6,1,1,12,50,0,50,2,0,3,6,87,0,0,1,1
6036.75,1,1,1,255,603,6,3,1,12,50,0,50,2,0,1,6,87,0,0,1,1
6039.75,1,1,1,255,603,9,3,1,12,50,0,50,2,0,0,5,86,0,0,1,1
6134.75,1,1,1,255,613,4,3,1,12,50,0,50,3,1,0,5,86,0,0,1,1
6136.0,1,1,1,255,613,6,0,1,12,50,0,50,3,0,2,5,86,0,0,1,1
6136.25,1,1,1,255,613,6,1,1,12,50,0,50,3,0,3,5,86,0,0,1,1
6136.75,1,1,1,255,613,6,3,1,12,50,0,50,3,0,1,5,86,0,0,1,1
6139.75,1,1,1,255,613,9,3,1,12,50,0,50,3,0,0,4,85,0,0,1,1
6234.75,1,1,1,255,623,4,3,1,12,50,0,50,0,1,0,4,85,0,0,1,1
6236.0,1,1,1,255,623,6,0,1,12,50,0,50,0,0,2,4,85,0,0,1,1
6236.25,1,1,1,255,623,6,1,1,12,50,0,50,0,0,3,4,85,0,0,1,1
6236.75,1,1,1,255,623,6,3,1,12,50,0,50,0,0,1,4,85,0,0,1,1
6239.75,1,1,1,255,623,9,3,1,12,50,0,50,0,0,0,3,84,0,0,1,1
6334.75,1,1,1,255,633,4,3,1,12,50,0,50,1,1,0,3,84,0,0,1,1
6336.0,1,1,1,255,633,6,0,1,12,50,0,50,1,0,2,3,84,0,0,1,1
6336.25,1,1,1,255,633,6,1,1,12,50,0,50,1,0,3,3,84,0,0,1,1
6336.75,1,1,1,255,633,6,3,1,12,50,0,50,1,0,1,3,84,0,0,1,1
6339.75,1,1,1,255,633,9,3,1,12,50,0,50,1,0,0,2,83,0,0,1,1
6434.75,1,1,1,255,643,4,3,1,12,50,0,50,2,1,0,2,83,0,0,1,1
6436.0,1,1,1,255,643,6,0,1,12,50,0,50,2,0,2,2,83,0,0,1,1
6436.25,1,1,1,255,643,6,1,1,12,50,0,50,2,0,3,2,83,0,0,1,1
6436.75,1,1,1,255,643,6,3,1,12,50,0,50,2,0,1,2,83,0,0,1,1
6439.75,1,1,1,255,643,9,3,1,12,50,0,50,2,0,0,1,82,0,0,1,1
6534.75,1,1,1,255,653,4,3,1,12,50,0,50,3,1,0,1,82,0,0,1,1
6536.0,1,1,1,255,653,6,0,1,12,50,0,50,3,0,2,1,82,0,0,1,1
6536.25,1,1,1,255,653,6,1,1,12,50,0,50,3,0,3,1,82,0,0,1,1
6536.75,1,1,1,255,653,6,3,1,12,50,0,50,3,0,1,1,82,0,0,1,1
6539.75,1,1,1,255,653,9,3,1,12,50,0,50,3,0,0,0,81,0,0,1,1
6641.75,1,1,1,255,664,1,3,1,12,50,0,50,1,1,0,6,69,0,0,1,1
6642.0,1,1,1,255,664,2,0,1,12,50,0,50,1,0,2,6,69,0,0,1,1
6644.25,1,1,1,255,664,4,1,1,12,50,0,50,1,0,3,6,69,0,0,1,1
6646.5,1,1,1,255,664,6,2,1,12,50,0,50,1,0,1,6,69,0,0,1,1
6646.75,1,1,1,255,664,6,3,1,12,50,0,50,1,0,0,5,68,0,0,1,1
6741.75,1,1,1,255,674,1,3,1,12,50,0,50,2,1,0,5,68,0,0,1,1
6742.0,1,1,1,255,674,2,0,1,12,50,0,50,2,0,2,5,68,0,0,1,1
6744.25,1,1,1,255,674,4,1,1,12,50,0,50,2,0,3,5,68,0,0,1,1
6746.5,1,1,1,255,674,6,2,1,12,50,0,50,2,0,1,5,68,0,0,1,1
6746.75,1,1,1,255,674,6,3,1,12,50,0,50,2,0,0,4,67,0,0,1,1
6841.75,1,1,1,255,684,1,3,1,12,50,0,50,3,1,0,4,67,0,0,1,1
6842.0,1,1,1,255,684,2,0,1,12,50,0,50,3,0,2,4,67,0,0,1,1
6844.25,1,1,1,255,684,4,1,1,12,50,0,50,3,0,3,4,67,0,0,1,1
6846.5,1,1,1,255,684,6,2,1,12,50,0,50,3,0,1,4,67,0,0,1,1
6846.75,1,1,1,255,684,6,3,1,12,50,0,50,3,0,0,3,66,0,0,1,1
6941.75,1,1,1,255,694,1,3,1,12,50,0,50,0,1,0,3,66,0,0,1,1
6942.0,1,1,1,255,694,2,0,1,12,50,0,50,0,0,2,3,66,0,0,1,1
6944.25,1,1,1,255,694,4,1,1,12,50,0,50,0,0,3,3,66,0,0,1,1
6946.5,1,1,1,255,694,6,2,1,12,50,0,50,0,0,1,3,66,0,0,1,1
6946.75,1,1,1,255,694,6,3,1,12,50,0,50,0,0,0,2,65,0,0,1,1
